,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,hotel_en_nm,room_index,room_nm,room_price,room_price_weekend,room_area,standard_date
13,307,제주특별자치도,제주시,관광호텔,라자관광호텔,㈜러스코,영업중,2성급,2018.01.31.,지상6~지하1,1242.4,4910.33,99,제주시 연동6길 33  (연동),,제주특별자치도 제주시 연동6길 33 (연동),제주특별자치도 제주시 연동 268-10 라자관광호텔,33.4829682,126.4893246,제주특별자치도,제주시,연동,268-10,268,10,5011013700,5011013700-0-02680010,,,,,,,
14,308,제주특별자치도,제주시,관광호텔,제주퍼시픽호텔,㈜금자탑,영업중,4성급,2017.06.30,지하2~지상11,4546,17042.09,177,제주시 서사로 20  (용담일동) ,,제주특별자치도 제주시 서사로 20 (용담일동),제주특별자치도 제주시 용담일동 159-1 제주퍼시픽호텔,33.5106661,126.5188686,제주특별자치도,제주시,용담일동,159-1,159,1,5011010800,5011010800-0-01590001,,,,,,,
15,309,제주특별자치도,제주시,관광호텔,뉴 아일랜드 관광호텔,강숙자,영업중,미등급,,지상7~지하2,1369.7,6625.06,100,제주시 연동6길 17 (연동),,제주특별자치도 제주시 연동6길 17 (연동),제주특별자치도 제주시 연동 263-12 뉴아일랜드관광호텔,33.4843053,126.4894391,제주특별자치도,제주시,연동,263-12,263,12,5011013700,5011013700-0-02630012,New Island Tourist Hotel,1,스탠다드 트윈룸 (Standard Twin Room),"23,715","28,458",24m²,2021-12-13
16,310,제주특별자치도,제주시,관광호텔,스타즈호텔 제주 로베로,㈜모두스테이,영업중,3성급,2019.03.27.,지상8~지하3,1707.97,10196.6,121,제주시 관덕로 26 (삼도이동),,제주특별자치도 제주시 관덕로 26 (삼도이동),제주특별자치도 제주시 삼도이동 57-2 로베로호텔,33.5128585,126.5220108,제주특별자치도,제주시,삼도이동,57-2,57,2,5011010600,5011010600-0-00570002,Staz Hotel Jeju Robero,1,스탠다드 더블 (Standard Double),"44,938","53,926",27m²,2021-12-13
17,311,제주특별자치도,제주시,관광호텔,제주선샤인호텔,조병규,영업중,3성급,2018.12.09.,지상4~지하1,4583,5988.9,72,제주시 조천읍 신북로 481-9(함덕리),,제주특별자치도 제주시 조천읍 신북로 481-9 (함덕리),제주특별자치도 제주시 조천읍 함덕리 1040 제주선샤인호텔,33.544258,126.6617981,제주특별자치도,제주시,조천읍 함덕리,1040,1040,0,5011025924,5011025924-0-10400000,,,,,,,
18,312,제주특별자치도,제주시,관광호텔,뉴코리아호텔,김대필,영업중,2성급,2017.06.30.,지상7~지하2,726.6,3699.1,73,제주시 은남길 37  (연동),,제주특별자치도 제주시 은남길 37 (연동),제주특별자치도 제주시 연동 303-12 뉴코리아나호텔,33.486298,126.4959255,제주특별자치도,제주시,연동,303-12,303,12,5011013700,5011013700-0-03030012,,,,,,,
19,313,제주특별자치도,제주시,관광호텔,메이더호텔,㈜더라임,영업중,3성급,2017.06.30.,지상3~지하1,5550,3492.73,54,제주시 구좌읍 일주동로 1626,"일반음식점, 커피숍, 노래연습장, 연회장, 야외풀장",제주특별자치도 제주시 구좌읍 일주동로 1626,제주특별자치도 제주시 구좌읍 동복리 1652-2,33.551954,126.7066643,제주특별자치도,제주시,구좌읍 동복리,1652-2,1652,2,5011025621,5011025621-0-16520002,,,,,,,
20,314,제주특별자치도,제주시,관광호텔,금룡관광호텔,㈜덕은,영업중,미등급,,지상10~지하1,744.8,5275.12,70,제주시 삼무로 79(연동),,제주특별자치도 제주시 삼무로 79 (연동),제주특별자치도 제주시 연동 291-41,33.4900041,126.495248,제주특별자치도,제주시,연동,291-41,291,41,5011013700,5011013700-0-02910041,,,,,,,
21,315,제주특별자치도,제주시,관광호텔,코쿤애월,이정윤,영업중,미등급,,지상4~지하1,2414,1748.55,30,제주시 애월읍 중엄3길 50,,제주특별자치도 제주시 애월읍 중엄3길 50,제주특별자치도 제주시 애월읍 신엄리 920 에뜨왈호텔,33.4779874,126.3716357,제주특별자치도,제주시,애월읍 신엄리,920,920,0,5011025326,5011025326-0-09200000,,,,,,,
22,316,제주특별자치도,제주시,관광호텔,라마다프라자제주호텔,더케이제주호텔㈜,영업중,5성급,2019.09.09.,지상9~지하1,19812.9,63833.89,400,제주시 탑동로 66  (삼도이동),"일반음식점, 수영장 헬스장, 사우나,연회장 등",제주특별자치도 제주시 탑동로 66 (삼도이동),제주특별자치도 제주시 삼도이동 1254 라마다프라자호텔,33.5188062,126.5181385,제주특별자치도,제주시,삼도이동,1254,1254,0,5011010600,5011010600-0-12540000,Ramada Plaza Jeju,1,"슈페리어 마운틴뷰 룸 (더블베드 1개 + 싱글베드 1개) (Superior Twin, 1 Double and 1 Single, Mountain View)","107,438","128,926",40m²,2021-12-13
