,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,hotel_en_nm,room_index,room_nm,room_price,room_price_weekend,room_area,standard_date
15,1418,경기도,고양시,관광호텔,호텔 더 윈,-,영업중,2성급,2020.11.19.,지하 3층 ~ 지상 12층,805,6298.62,80,경기도 고양시 덕양구 원흥3로 6-14(원흥동),"외국인서비스식당, 조경시설",경기도 고양시 덕양구 원흥3로 6-14 (원흥동),경기도 고양시 덕양구 원흥동 634-4 호텔더 윈,37.6476314,126.8751221,경기도,고양시 덕양구,원흥동,634-4,634,4,4128110400,4128110400-0-06340004,,,,,,,
16,1419,경기도,고양시,호스텔,Limit 8 호스텔,-,영업중,-,-,지상 8층,1520.5,1172,27,"경기도 고양시 일산동구 무궁화로 37, 노블리제 8층(장항동)","취사 및 문화교류시설, 여행객 짐보관소","경기도 고양시 일산동구 무궁화로 37, 노블리제 8층 (장항동)",경기도 고양시 일산동구 장항동 734-1 노블리제,37.663289,126.7682073,경기도,고양시 일산동구,장항동,734-1,734,1,4128510400,4128510400-0-07340001,,,,,,,
17,1420,경기도,광명시,관광호텔,라까사호텔 광명,(주)라까사웍스,영업중,"호텔등급신청중
(코로나로 인한 연기)",-,지하5층~지상16층,2219.8,21757.73,194,경기도 광명시 일직로 12번길22(일직동),"레스토랑, 헬스장, 코인세탁실",경기도 광명시 일직로 12번길22 (일직동),경기도 광명시 일직동 508-3 라까사웍스,37.4212333,126.8819771,경기도,광명시,일직동,508-3,508,3,4121010600,4121010600-0-05080003,,,,,,,
18,1421,경기도,광명시,관광호텔,광명 제이에스부티크호텔,박진식,영업중,2성급,19.12.13.,지하2층~지상10층,704.8,4869.93,88,경기도 광명시 오리로854번길 16-18 (철산동),"카페, 레스토랑",경기도 광명시 오리로854번길 16-18 (철산동),경기도 광명시 철산동 423,37.4742753,126.8688583,경기도,광명시,철산동,423,423,0,4121010200,4121010200-0-04230000,,,,,,,
19,1422,경기도,광주시,콘도미니엄,곤지암리조트,㈜ 에스앤아이코퍼레이션,영업중,-,-,지하3층~지상13층,29520,9786,473,경기도 광주시 도척면 도척윗로 278,"음식점, 카페, 연회장, 헬스장,라운지,비즈니스센터",경기도 광주시 도척면 도척윗로 278,경기도 광주시 도척면 도웅리 534,37.3374315,127.2922079,경기도,광주시,도척면 도웅리,534,534,0,4161033026,4161033026-0-05340000,,,,,,,
20,1423,경기도,김포시,관광호텔,약암홍염천관광호텔주식회사,약암홍염천관광호텔주식회사,영업중,평가중,-,지하1층~지상5층,6346,7962.37,71,경기도 김포시 대곶면 약암로 965-7,"음식점, 카페, 사우나 등",경기도 김포시 대곶면 약암로 965-7,경기도 김포시 대곶면 약암리 481,37.6387579,126.5518696,경기도,김포시,대곶면 약암리,481,481,0,4157034023,4157034023-0-04810000,,,,,,,
21,1424,경기도,김포시,호스텔,라인플러스호텔,박진아,영업중,등급평가제외,-,지하1층~지상4층,1465,1265.48,36,경기도 김포시 통진읍 김포대로 2337-1,"카페, 조식식당 등",경기도 김포시 통진읍 김포대로 2337-1,경기도 김포시 통진읍 마송리 161-5 라인플러스관광호텔,37.6943434,126.5876844,경기도,김포시,통진읍 마송리,161-5,161,5,4157025022,4157025022-0-01610005,,,,,,,
22,1425,경기도,김포시,관광호텔,아리수호텔,김주영,영업중,2성급,2019.05.31.,지하1층~지상7층,1489.5,4687.75,66,"경기도 김포시 태장로795번길 123 (장기동, 아리수호텔)","식당공간, 카페 등","경기도 김포시 태장로795번길 123 (장기동, 아리수호텔)",경기도 김포시 장기동 2014-3 더블유관광호텔,37.638983,126.6838935,경기도,김포시,장기동,2014-3,2014,3,4157010400,4157010400-0-20140003,,,,,,,
23,1426,경기도,김포시,가족호텔,호텔라르김포,최태인,영업중,평가예정,-,지하2층~지상14층,753.6,7092.49,144,경기도 김포시 고촌읍 장차로5번길 5-9,"식당공간, 카페 등",경기도 김포시 고촌읍 장차로5번길 5-9,경기도 김포시 고촌읍 신곡리 1068-3,37.602743,126.7692645,경기도,김포시,고촌읍 신곡리,1068-3,1068,3,4157025324,4157025324-0-10680003,,,,,,,
24,1427,경기도,김포시,관광호텔,레스트호텔,덕성산업,영업중,3성급,2020.12.04.,지하2층~지상8층,1343.9,7051.66,70,경기도 김포시 태장로795번길 151 (장기동),"식당공간, 카페 등",경기도 김포시 태장로795번길 151 (장기동),경기도 김포시 장기동 2011-5,37.6399295,126.6850994,경기도,김포시,장기동,2011-5,2011,5,4157010400,4157010400-0-20110005,,,,,,,
25,1428,경기도,김포시,관광호텔,펜타스타호텔,주식회사펜타스타,영업중,2성급,2019.05.07.,지하1층~지상7층,1490,4788.76,69,경기도 김포시 태장로795번길 111 (장기동),"식당공간, 카페, 편의점 등",경기도 김포시 태장로795번길 111 (장기동),경기도 김포시 장기동 2014-5,37.6386547,126.6835499,경기도,김포시,장기동,2014-5,2014,5,4157010400,4157010400-0-20140005,,,,,,,
